ZipCrrt,Select
63033C071,Penny
63033C063,Nickel
63033C097,Penny
63031C004,Nickel
63033C019,Penny
63033C051,Nickel
63033C047,Penny
63031C036,Nickel
63031C035,Penny
63033C045,Nickel
